Required Ratio,,Whom they affect to,What is the Constraint,Apply to -,Individuals?,,Inspiration,Applied,Constraint Implementation Stage
,,Activity,A set of activities must occupy a minimum or maximum number of time slots from a selection.,All (for Scheduling Logic),,,,,
,,Activity,"A set of activities must be scheduled consecutively, in a specific order, or grouped together.",All (for Scheduling Logic),,,,,
,,Activity,A set of activities must not overlap in time.,All (for Scheduling Logic),,,,,
,,Activity,A maximum or minimum number of activities from a set can be simultaneous in selected time slots.,All (for Scheduling Logic),,,,,
,,Activity,A minimum gap is required between a set of activities.,All (for Scheduling Logic),,,,,
,,Parallel Groups,"Hobby periods for classes 6, 7, 8, and 9 must run in parallel across all sections of that grade (e.g., 6A, 6B, 6C all have Hobby at the same time).",All (for Scheduling Logic),,,,,
,,Parallel Groups,Skill subject periods for classes 11 and 12 must run in parallel across all sections.,All (for Scheduling Logic),,,,,
,,Parallel Groups,Optional subject periods for specific class sections (11 A/B/C/E & 12 B/C/E) must run in parallel.,All (for Scheduling Logic),,,,,
,,Resource (Lab),Computer Lab is reserved for computer practical periods for Classes 1 to 8.,All (for Scheduling Logic),,,,,
,,Resource (Lab),"Senior Computer Lab is reserved for IP practicals (Classes 11, 12) and IT practicals (Classes 9, 10).",All (for Scheduling Logic),,,,,
,,Resource (Lab),"Robotics Lab is reserved for Robotics periods (Classes 4 to 8) and AI Skill periods (Classes 11, 12).",All (for Scheduling Logic),,,,,
,,Resource (Lab),"Biology/Chemistry Lab is reserved for Physics and Chemistry practicals for Classes 11A, 11B, 11D, 12A, 12B, and 12D.",All (for Scheduling Logic),,,,,
,,Room,"A specific room has ""not available"" time slots.",Individual (Any Room),,,,,
,,Room,"A specific teacher in a specific room has ""not available"" time slots.",Individual (Any Teacher + Room),,,,,
,,Room,A maximum number of a set of Study Formats can be scheduled in a room per day and per week.,Individual (Any Room),,,,,
,,Room,An activity cannot be scheduled in a room if the number of students exceeds the room's capacity.,All (for Scheduling Logic),,,,,
,,Students,"A set of students (e.g., a class) has a specific home room.",All Classes,,,,,
,,Students,A set of students has a set of home rooms.,All Classes,,,,,
,,Students,"A set of students has specific ""not available"" periods (e.g., for school assemblies).",All Classes,,,,,
,,Students,Maximum number of days per week a set of students can attend school.,All Classes,,,,,
,,Students,"Constraint to avoid students beginning their day too often with a free period (e.g., max allowed beginnings at second hour).",All Classes,,,,,
,,Students,Maximum number of gaps (free periods) allowed per day and per week for a set of students.,All Classes,,,,,
,,Students,Maximum number of consecutive teaching periods for a set of students.,All Classes,,,,,
,,Students,Maximum span of the school day for a set of students.,All Classes,,,,,
,,Students,Minimum number of teaching periods per day for a set of students.,All Classes,,,,,
,,Students,Maximum and minimum hours per day with a specific Study Format for a set of students.,All Classes,,,,,
,,Students,"Minimum gap required between two specific, ordered Study Formats for a set of students.",All Classes,,,,,
,,Students,Maximum number of days per week a set of students can have a class in a specific hourly interval.,All Classes,,,,,
,,Students,"Minimum resting hours required for a set of students (e.g., overnight).",All Classes,,,,,
,,Students (Logistics),Maximum number of room changes allowed per day and per week for a set of students.,All Classes,,,,,
,,Students (Logistics),Maximum number of room changes allowed for a set of students within a specific hourly interval per day.,All Classes,,,,,
,,Students (Logistics),Minimum gap required between room changes for a set of students.,All Classes,,,,,
,,Students (Logistics),Maximum number of building changes allowed per day and per week for a set of students.,All Classes,,,,,
,,Students (Logistics),Maximum number of building changes allowed for a set of students within a specific hourly interval per day.,All Classes,,,,,
,,Students (Logistics),Minimum gap required between building changes for a set of students.,All Classes,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Will Not Consider in this Version,,,,,,,,
,,,,,,,,,
,,Teacher (Home Room),A teacher has a specific home room.,Individual (Any Teacher),,,,,
,,Teacher (Home Room),A teacher has a set of home rooms.,Individual (Any Teacher),,,,,
,,,,,,,,,
,,Teacher (Logistics),Maximum number of room changes allowed per day and per week for a teacher.,Individual (Any Teacher),,,,,
,,Teacher (Logistics),Maximum number of room changes allowed for a teacher within a specific hourly interval per day.,Individual (Any Teacher),,,,,
,Teacher,Teacher,"A teacher cannot work on #Days(25) consecutive days (e.g., must have a day off in between).",All Teachers,,,,,
,Teacher,Teacher,Maximum number of days per week a teacher can work within a specific hourly interval.,Individual (Any Teacher),,,,,
,Teacher,Teacher,"Minimum resting hours required for a teacher (e.g., between end of day and next start).",Individual (Any Teacher),,,,,
,,,,,,,,,
,,Teacher (Logistics),Minimum gap required between room changes for a teacher.,Individual (Any Teacher),,,,,
,,Teacher (Logistics),Maximum number of building changes allowed per day and per week for a teacher.,Individual (Any Teacher),,,,,
,,Teacher (Logistics),Maximum number of building changes allowed for a teacher within a specific hourly interval per day.,Individual (Any Teacher),,,,,
,,Teacher (Logistics),Minimum gap required between building changes for a teacher.,Individual (Any Teacher),,,,,
